# mesh name: firstLayer
# primitive scorer name: energyDeposit
# iX, iY, iZ, total(value) [MeV], total(val^2), entry
0,0,0,0,0,0
0,1,0,0,0,0
0,2,0,0,0,0
0,3,0,0,0,0
0,4,0,0,0,0
0,5,0,0,0,0
0,6,0,0,0,0
0,7,0,0,0,0
0,8,0,0,0,0
0,9,0,0,0,0
0,10,0,0,0,0
0,11,0,0,0,0
0,12,0,0,0,0
0,13,0,0,0,0
0,14,0,0,0,0
0,15,0,0,0,0
0,16,0,0,0,0
0,17,0,0,0,0
0,18,0,0,0,0
0,19,0,0,0,0
0,20,0,0,0,0
0,21,0,0,0,0
0,22,0,0,0,0
0,23,0,0,0,0
0,24,0,0,0,0
0,25,0,0,0,0
0,26,0,0,0,0
0,27,0,0,0,0
0,28,0,0,0,0
0,29,0,0,0,0
0,30,0,0,0,0
0,31,0,0,0,0
0,32,0,0,0,0
0,33,0,0,0,0
0,34,0,0.51099891,0.2611198860211881,1
0,35,0,0,0,0
0,36,0,0,0,0
0,37,0,0,0,0
0,38,0,1.106463870294333,1.224262296266715,1
0,39,0,0,0,0
0,40,0,0,0,0
0,41,0,0,0,0
0,42,0,0,0,0
0,43,0,0,0,0
0,44,0,0,0,0
0,45,0,0,0,0
0,46,0,0,0,0
0,47,0,0.1264476842752912,0.01598901685858372,1
0,48,0,0,0,0
0,49,0,0,0,0
0,50,0,0,0,0
0,51,0,0,0,0
0,52,0,0,0,0
0,53,0,0,0,0
0,54,0,0.5797626906180081,0.3361247774326322,1
0,55,0,1.693739796817821e-24,2.868754499324475e-48,1
0,56,0,0.2415153733215998,0.05832967555067172,1
0,57,0,0.0006791082851123065,4.611880629081777e-07,1
0,58,0,0,0,0
0,59,0,0,0,0
0,60,0,0.005984183109831065,3.581044749198739e-05,1
0,61,0,0,0,0
0,62,0,0.005232300172792748,2.737696509820702e-05,1
0,63,0,0,0,0
0,64,0,0.0001721203443594277,2.962541294240797e-08,1
0,65,0,0,0,0
0,66,0,0,0,0
0,67,0,0,0,0
0,68,0,0.0003896909474860877,1.518590345526047e-07,1
0,69,0,0.0004798995505552739,2.303035786231539e-07,1
0,70,0,0.0008171015942934901,6.676550153969632e-07,1
0,71,0,0.001280399388633668,1.639422594413472e-06,1
0,72,0,0,0,0
0,73,0,0,0,0
0,74,0,0,0,0
0,75,0,0,0,0
0,76,0,0,0,0
0,77,0,0,0,0
0,78,0,0,0,0
0,79,0,0,0,0
0,80,0,0,0,0
0,81,0,0,0,0
0,82,0,0,0,0
0,83,0,0,0,0
0,84,0,0,0,0
0,85,0,0,0,0
0,86,0,0,0,0
0,87,0,0,0,0
0,88,0,0,0,0
0,89,0,0,0,0
0,90,0,0,0,0
0,91,0,0,0,0
0,92,0,0,0,0
0,93,0,0,0,0
0,94,0,0,0,0
0,95,0,0,0,0
1,0,0,0,0,0
1,1,0,0,0,0
1,2,0,0,0,0
1,3,0,0,0,0
1,4,0,0,0,0
1,5,0,0,0,0
1,6,0,0,0,0
1,7,0,0,0,0
1,8,0,1.799801259695501e-25,3.23928457440151e-50,1
1,9,0,3.848012349398227e-25,1.480719904112126e-49,1
1,10,0,0.001595460693351924,2.545494824031003e-06,1
1,11,0,3.848012349398248e-25,1.480719904112142e-49,1
1,12,0,3.848012349398227e-25,1.480719904112126e-49,1
1,13,0,3.848012349398248e-25,1.480719904112142e-49,1
1,14,0,1.054334772084804,1.111621811627115,1
1,15,0,6.817800102696065e-25,4.648239824032247e-49,1
1,16,0,6.817800102696102e-25,4.648239824032297e-49,1
1,17,0,0.002549375203670934,6.499313929092215e-06,1
1,18,0,0.001433301018550992,2.054351809779311e-06,1
1,19,0,0.003389601304661483,1.148939700456282e-05,1
1,20,0,1.106592070748768e-24,1.224546011044046e-48,1
1,21,0,1.106592070748762e-24,1.224546011044033e-48,1
1,22,0,1.106592070748768e-24,1.224546011044046e-48,1
1,23,0,1.290164366368346e-24,1.664524092246637e-48,1
1,24,0,1.459802576514686e-24,2.131023562398917e-48,1
1,25,0,1.459802576514695e-24,2.13102356239894e-48,1
1,26,0,1.459802576514695e-24,2.13102356239894e-48,1
1,27,0,1.459802576514686e-24,2.131023562398917e-48,1
1,28,0,0.002238788845716044,5.012175495702578e-06,1
1,29,0,2.674250931919608,7.151618046872891,1
1,30,0,0.8207827737612513,0.6736843617032134,1
1,31,0,0.5226564157880649,0.2731697289644265,1
1,32,0,5.411506277006665,29.28440018608254,1
1,33,0,0.7240799100492319,0.5242917161369037,1
1,34,0,4.964667020620574,24.64791862563757,1
1,35,0,4.388208477071467,19.25637363824189,1
1,36,0,8.932803996297519,79.79498723626892,1
1,37,0,12.96842868265701,168.1801424971611,1
1,38,0,8.518018007337261,72.55663077332184,1
1,39,0,18.10365650531885,327.7423788625733,1
1,40,0,31.25969978444062,977.1688306133569,1
1,41,0,49.44057695881727,2444.370650020734,1
1,42,0,117.7166591587017,13857.21184348595,1
